Date,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
2016-10-16,11200.0,31250.0,113950.0,21600.0,36800.0,36950.0,47500.0,33200.0,13650.0,15800.0
2016-10-17,11200.0,31800.0,113850.0,21550.0,36650.0,37000.0,48850.0,35700.0,13650.0,15750.0
2016-10-18,11200.0,31800.0,113950.0,21550.0,36500.0,36900.0,49700.0,35900.0,13650.0,15750.0
2016-10-19,11250.0,31950.0,113850.0,21550.0,36550.0,36950.0,50000.0,36250.0,13650.0,15700.0
2016-10-20,11250.0,31750.0,113900.0,21550.0,35850.0,36800.0,50350.0,36750.0,13650.0,15700.0
2016-10-21,11250.0,31850.0,113800.0,21450.0,35700.0,36650.0,50550.0,36900.0,13600.0,15700.0
2016-10-22,11250.0,31850.0,113800.0,21450.0,35700.0,36650.0,50550.0,36900.0,13600.0,15700.0
2016-10-23,11250.0,31850.0,113800.0,21450.0,35700.0,36650.0,50550.0,36900.0,13600.0,15700.0
2016-10-24,11250.0,31500.0,113900.0,21450.0,35550.0,36800.0,51250.0,38350.0,13600.0,15700.0
2016-10-25,11200.0,31400.0,113950.0,21450.0,35950.0,36850.0,51700.0,38550.0,13600.0,15650.0
2016-10-26,11250.0,31050.0,113900.0,21450.0,36600.0,36850.0,52050.0,38750.0,13600.0,15650.0
2016-10-27,11250.0,31000.0,113900.0,21450.0,36450.0,36700.0,51650.0,39150.0,13600.0,15650.0
2016-10-28,11250.0,30850.0,113950.0,21350.0,36750.0,36700.0,51350.0,39350.0,13600.0,15650.0
2016-10-29,11250.0,30850.0,113950.0,21350.0,36750.0,36700.0,51350.0,39350.0,13600.0,15650.0
2016-10-30,11250.0,30850.0,113950.0,21350.0,36750.0,36700.0,51350.0,39350.0,13600.0,15650.0
2016-10-31,11200.0,30650.0,113900.0,21400.0,37550.0,36700.0,53050.0,40300.0,13600.0,15600.0
2016-11-01,11200.0,30600.0,113700.0,21350.0,37750.0,36700.0,53050.0,40450.0,13600.0,15600.0
2016-11-02,11200.0,30650.0,114050.0,21300.0,38150.0,36950.0,54500.0,41550.0,13650.0,15600.0
2016-11-03,11200.0,30600.0,113750.0,21300.0,38350.0,37050.0,55800.0,42300.0,13600.0,15650.0
2016-11-04,11200.0,30750.0,113900.0,21250.0,39250.0,37150.0,56750.0,43600.0,13600.0,15550.0
2016-11-05,11200.0,30750.0,113900.0,21250.0,39250.0,37150.0,56750.0,43600.0,13600.0,15550.0
2016-11-06,11200.0,30750.0,113900.0,21250.0,39250.0,37150.0,56750.0,43600.0,13600.0,15550.0
2016-11-07,11250.0,32750.0,112800.0,21450.0,40600.0,37200.0,58500.0,47100.0,13600.0,15550.0
2016-11-08,11200.0,32850.0,112800.0,21450.0,40950.0,37300.0,58850.0,47750.0,13600.0,15550.0
2016-11-09,11200.0,32900.0,112800.0,21450.0,41200.0,37350.0,58850.0,47250.0,13600.0,15500.0
2016-11-10,11200.0,32900.0,112750.0,21450.0,41800.0,37450.0,57800.0,47400.0,13600.0,15500.0
2016-11-11,11200.0,33000.0,112750.0,21400.0,42350.0,37700.0,57700.0,47900.0,13600.0,15500.0
2016-11-12,11200.0,33000.0,112750.0,21400.0,42350.0,37700.0,57700.0,47900.0,13600.0,15500.0
2016-11-13,11200.0,33000.0,112750.0,21400.0,42350.0,37700.0,57700.0,47900.0,13600.0,15500.0
2016-11-14,11250.0,33100.0,112550.0,21400.0,43500.0,38050.0,57500.0,47700.0,13600.0,15500.0
2016-11-15,11250.0,33250.0,112550.0,21400.0,43550.0,38350.0,57900.0,48400.0,13600.0,15450.0
2016-11-16,11250.0,31350.0,114000.0,21200.0,43500.0,37900.0,58500.0,48350.0,13600.0,15500.0
2016-11-17,11250.0,31500.0,113350.0,21200.0,43550.0,38100.0,57950.0,47900.0,13600.0,15450.0
2016-11-18,11250.0,31400.0,113350.0,21350.0,43800.0,38100.0,58100.0,47550.0,13600.0,15500.0
2016-11-19,11250.0,31400.0,113350.0,21350.0,43800.0,38100.0,58100.0,47550.0,13600.0,15500.0
2016-11-20,11250.0,31400.0,113350.0,21350.0,43800.0,38100.0,58100.0,47550.0,13600.0,15500.0
2016-11-21,11250.0,31500.0,113600.0,21150.0,43650.0,38100.0,58550.0,47650.0,13600.0,15450.0
2016-11-22,11250.0,31200.0,113500.0,21350.0,43600.0,38400.0,58100.0,47250.0,13600.0,15450.0
2016-11-23,11200.0,31050.0,113450.0,21350.0,43450.0,38350.0,57100.0,46250.0,13600.0,15450.0
2016-11-24,11250.0,30950.0,113550.0,21350.0,43300.0,38400.0,55950.0,46050.0,13600.0,15450.0
2016-11-25,11250.0,30950.0,113500.0,21350.0,43150.0,38450.0,55150.0,45950.0,13600.0,15450.0
2016-11-26,11250.0,30950.0,113500.0,21350.0,43150.0,38450.0,55150.0,45950.0,13600.0,15450.0
2016-11-27,11250.0,30950.0,113500.0,21350.0,43150.0,38450.0,55150.0,45950.0,13600.0,15450.0
2016-11-28,11250.0,30750.0,113450.0,21400.0,42850.0,38550.0,52850.0,45150.0,13600.0,15400.0
2016-11-29,11200.0,30850.0,114050.0,21200.0,42500.0,38550.0,52350.0,45700.0,13600.0,15450.0
2016-11-30,11250.0,30800.0,113450.0,21300.0,42450.0,38850.0,51150.0,44350.0,13600.0,15450.0
2016-12-01,11200.0,31000.0,113600.0,21300.0,42100.0,38750.0,50950.0,44850.0,13600.0,15400.0
2016-12-02,11200.0,31000.0,113400.0,21350.0,42100.0,38750.0,50450.0,44950.0,13600.0,15450.0
2016-12-03,11200.0,31000.0,113400.0,21350.0,42100.0,38750.0,50450.0,44950.0,13600.0,15450.0
2016-12-04,11200.0,31000.0,113400.0,21350.0,42100.0,38750.0,50450.0,44950.0,13600.0,15450.0
2016-12-05,11200.0,31200.0,113300.0,21300.0,41600.0,38800.0,50750.0,44650.0,13750.0,15400.0
2016-12-06,11150.0,31500.0,113850.0,21500.0,41200.0,38700.0,51200.0,45700.0,13700.0,15400.0
2016-12-07,11200.0,31550.0,113550.0,21650.0,41200.0,38950.0,50450.0,46050.0,13700.0,15400.0
